SC #,Bartlett 1939 #,Bartlett 1916 #,Title,Year
289,324,211,2 Henry IV,1600
1498,1175,847,The Taming of a/the Shrew,1631
387.6,411,0,Julius Caesar,1684
296,340,226,2 Henry IV,1600
281,325,212,2 Henry IV,1600
788,768,546,A Midsummer Night's Dream,1619
746,702,507,The Merry Wives of Windsor,1619
770,741,525,A Midsummer Night's Dream,1600
761,739,523,The Merry Wives of Windsor,1630
284,328,213,2 Henry IV,1600
297,343,219,2 Henry IV,1600
792,755,548,A Midsummer Night's Dream,1619
794,750,533,A Midsummer Night's Dream,1619
764,742,526,A Midsummer Night's Dream,1600
765,743,528,A Midsummer Night's Dream,1600
774,753,536,A Midsummer Night's Dream,1619
711,692,484,The Merry Wives of Windsor,1602
708,690,483,The Merry Wives of Windsor,1602
646,639,0,The Merchant of Venice,1619
853,831,596,Othello,1630
1273,1037,736,Richard III,1602
856,833,609,Othello,1630
976,934,655,Othello,1695
808,782,562,Much Ado About Nothing,1600
338,384,261,Henry V,1619
828,805,580,Othello,1622
353,365,247,Henry V,1619
766,748,532,A Midsummer Night's Dream,1600
809,795,571,Much Ado About Nothing,1600
753,731,516,The Merry Wives of Windsor,1630
795,771,550,A Midsummer Night's Dream,1619
812,788,567,Much Ado About Nothing,1600
49,9,8,Hamlet,1611
381,405,273,Julius Caesar,1684
402,421,309,Julius Caesar,1691
412,434,0,Julius Caesar,1691
463,482,0,Julius Caesar,1695
458,476,287,Julius Caesar,1695
373,395,0,Julius Caesar,1684
413,438,0,Julius Caesar,1691
448,457,279,Julius Caesar,1695
375,397,267,Julius Caesar,1684
453,469,284,Julius Caesar,1695
397,414,274,Julius Caesar,1684
467,485,289,Julius Caesar,1695
419,444,0,Julius Caesar,1691
769,747,527,A Midsummer Night's Dream,1600
390,486,290,Julius Caesar,1695
451,468,303,Julius Caesar,1695
464,487,291,Julius Caesar,1695
796,769,0,A Midsummer Night's Dream,1619
657,643,443,The Merchant of Venice,1619
473,498,323,King Lear,1608
486,511,333,King Lear,1619
485,510,332,King Lear,1619
474,506,329,King Lear,1608
880,860,617,Othello,1655
885,865,627,Othello,1655
1208,967,675,Richard II,1598
872,826,594,Othello,1630
851,828,595,Othello,1630
896,857,625,Othello,1655
1215,981,686,Richard II,1608
1220,983,688,Richard II,1608
1221,987,693,Richard II,1615
1218,978,685,Richard II,1608
1229,994,700,Richard II,1615
1232,986,692,Richard II,1615
1236,1003,707,Richard II,1634
1245,1018,719,Richard II,1634
1543,1207,876,Troilus and Cressida,1609
1282,1042,0,Richard III,1605
1322,1082,769,Richard III,1634
1241,1011,715,Richard II,1634
1554,1211,879,Troilus and Cressida,1609
1285,1057,748,Richard III,1612
1539,1191,862,Titus Andronicus,1611
1542,1197,867,Titus Andronicus,1611
1263,1022,722,Richard III,1597
1260,1023,723,Richard III,1597
1271,1028,727,Richard III,1598
1267,1034,733,Richard III,1598
1265,1030,730,Richard III,1598
1283,1039,737,Richard III,1605
1289,1051,749,Richard III,1612
1293,1053,747,Richard III,1612
1214,984,691,Richard II,1608
1284,1041,742,Richard III,1612
1291,1047,743,Richard III,1612
1316,1078,766,Richard III,1629
1294,1054,747,Richard III,1612
1295,1046,741,Richard III,1612
1297,1060,752,Richard III,1622
1323,1086,772,Richard III,1634
1302,1063,754,Richard III,1622
1314,1077,759,Richard III,1629
1334,1097,782,Richard III,1634
1337,1098,783,Richard III,1634
1344,1102,787,Romeo and Juliet,1597
1348,1101,786,Romeo and Juliet,1597
1356,1115,791,Romeo and Juliet,1599
1219,983,689,Richard II,1608
1345,1105,789,Romeo and Juliet,1597
1349,1107,792,Romeo and Juliet,1599
1360,1116,799,Romeo and Juliet,1599
1367,1119,801,Romeo and Juliet,1609
1371,1128,809,Romeo and Juliet,1623
1369,1126,807,Romeo and Juliet,1623
1383,1140,820,Romeo and Juliet,1637
1400,1157,832,Romeo and Juliet,1637
1406,1162,837,Romeo and Juliet,1637
1405,1161,834,Romeo and Juliet,1637
1393,1150,830,Romeo and Juliet,1637
841,816,587,Othello,1630
430,452,0,Julius Caesar,1695
401.5,420,308,Julius Caesar,1691
839,802,577,Othello,1622
459,477,288,Julius Caesar,1695
344,383,260,Henry V,1619
98,66,0,Hamlet,1637
94,69,56,Hamlet,1637
895,868,623,Othello,1655
277,284,0,1 Henry IV,1639
697,677,472,The Merchant of Venice,1652
881,861,618,Othello,1655
675,660,457,The Merchant of Venice,1637
1388,1146,825,Romeo and Juliet,1637
